index,date,id,news_count
1,2022-12-01,1,99
2,2022-12-01,2,95
3,2022-12-01,3,60
4,2022-12-01,4,85
5,2022-12-02,1,99
6,2022-12-02,2,62
7,2022-12-02,3,54
8,2022-12-02,4,82
9,2022-12-03,1,74
10,2022-12-03,2,90
11,2022-12-03,3,56
12,2022-12-03,4,96
13,2022-12-04,1,53
14,2022-12-04,2,59
15,2022-12-04,3,67
16,2022-12-04,4,63
17,2022-12-05,1,73
18,2022-12-05,2,77
19,2022-12-05,3,97
20,2022-12-05,4,81
21,2022-12-06,1,11
22,2022-12-06,2,15
23,2022-12-06,3,19
24,2022-12-06,4,21
25,2022-12-07,1,13
26,2022-12-07,2,14
27,2022-12-07,3,17
28,2022-12-07,4,10
29,2022-12-08,1,74
30,2022-12-08,2,95
31,2022-12-08,3,81
32,2022-12-08,4,60
33,2022-12-09,1,77
34,2022-12-09,2,86
35,2022-12-09,3,56
36,2022-12-09,4,68
37,2022-12-10,1,81
38,2022-12-10,2,73
39,2022-12-10,3,68
40,2022-12-10,4,72
41,2022-12-11,1,63
42,2022-12-11,2,89
43,2022-12-11,3,66
44,2022-12-11,4,66
45,2022-12-12,1,79
46,2022-12-12,2,58
47,2022-12-12,3,53
48,2022-12-12,4,88
